,wind_speed,lat
217,3.13,-14.014536075969062
427,2.35,57.554350152620096
4,13.53,44.17329583277956
191,28.07,16.867466967319313
219,5.03,-5.531827462647172
339,11.86,-8.719415946451704
176,3.58,-9.403651596475768
586,5.14,-26.18520335760743
447,7.83,29.72822644937939
373,23.71,19.352021743947248
22,19.35,66.42212821671822
337,14.65,44.52597086210906
493,9.62,23.649895416417664
205,9.73,22.495516475010067
98,3.02,67.11273355584186
268,2.91,46.090424015992795
163,4.14,63.833172521437575
173,24.16,18.674158599423908
56,7.72,-88.48662556787231
489,9.17,40.397422737614704
435,15.43,22.28504255193083
599,20.8,16.623842688651692
15,21.25,85.52400166243805
138,4.14,3.287346845701052
61,3.36,19.949671233431413
104,17.34,66.31363243987278
276,5.37,68.21533865577985
448,7.83,-14.014771889836865
369,13.65,37.23457066294071
162,4.03,-16.696071338880813
141,3.58,34.126766333947685
37,26.73,54.248571289345044
544,7.61,42.973720316859534
597,21.03,9.878348973522023
589,6.04,49.20391450945002
306,6.93,37.50205347510793
336,13.65,36.16840472533434
253,10.4,2.052522183451828
529,2.35,68.67622935908287
375,2.35,5.6325086612519035
514,3.58,43.41858920418622
530,24.27,44.55022207784026
607,8.05,47.419224670870285
122,4.59,51.85843921160703
411,8.39,-8.093053344422316
431,8.95,51.18349511409875
550,8.61,4.8610397804691265
579,6.6,67.20912245748896
410,3.69,-28.247864824583225
320,18.45,30.575745169612745
297,2.57,11.191787642669539
49,5.93,50.797657624554546
148,2.68,77.74250768483941
540,18.23,-16.965090854466624
140,28.07,-46.197021742728275
409,2.24,23.40373999926712
160,5.59,-88.39316676988922
196,16.78,50.606940067477076
302,4.7,61.825288638368704
592,5.59,68.25008949015987
456,2.24,-0.1884921164098756
206,15.99,-11.919318201654546
170,3.13,11.89225335659367
562,11.41,31.1340713075944
594,13.87,47.01351621503477
9,3.58,77.13919396914648
568,7.83,-6.947666010280372
537,16.78,-2.4774867152896287
440,6.6,52.4422378871256
331,17.67,16.787521146592766
36,4.7,23.48752304165741
610,6.6,18.374713374059308
560,10.29,58.829212339360396
392,12.53,12.60920808624333
543,26.62,-32.56104152475923
571,6.82,-18.44031546064255
510,14.76,23.386640548401004
165,9.62,-25.733114777478804
286,4.36,-38.77748683938139
0,2.35,30.302189993885218
145,16.67,-0.7129568791378489
291,12.64,-23.25396225236237
496,10.63,-24.906356142208157
130,10.96,68.9467969365221
48,13.42,-38.09902163741256
324,6.04,-5.264550222741377
315,1.68,46.08554614551957
595,18.57,27.788275589842897
133,2.13,6.060287178873737
204,15.43,-10.049284209065119
33,46.08,-45.28694810206086
519,22.59,-11.740126149777115
38,8.05,39.156028272795965
142,2.24,-16.726531895248446
364,3.02,15.294413898203047
182,17.22,-17.085953767279292
262,35.01,-68.96227073763552
212,2.91,5.498164823892934
547,16.67,72.59340772632044
481,16.55,7.846513861682554
271,3.91,41.16294477492863
311,4.36,54.68343121647027
270,8.72,1.8315457230841898
499,8.16,-3.0996814741958474
232,2.01,65.87042683894572
245,7.94,44.35489858868755
322,4.7,55.42647666495904
612,13.98,19.720586749487552
504,5.14,5.10758001348495
120,3.02,0.4971018346176805
511,3.36,25.165942216465936
207,10.18,47.744349368725146
47,4.03,70.05641453344505
390,14.76,80.22968233427267
94,10.18,19.70836831942775
